Date,Step Count,Distance (m),Calories Burned(cal x 10)
2022-12-31,10748,4959.993634,3512.73
2023-01-01,13724,6249.757839,5294.45
2023-01-02,10048,4642.804023,4344.24
2023-01-03,9281,4191.47081,5255.49
2023-01-04,8113,3762.152666,4261.67
2023-01-05,8817,4029.92121,5867.06
2023-01-06,9698,4386.225147,4607.87
2023-01-07,11487,5049.7421,4337.66
2023-01-08,12895,5845.485291,5595.07
2023-01-09,7524,3522.639961,4278.86
2023-01-10,8794,3908.62606,4637.18
2023-01-11,7732,3458.768755,3736.78
2023-01-12,8760,3904.93224,3565.16
2023-01-13,9611,4306.32976,4603.46
2023-01-14,7629,3415.43014,4170.46
2023-01-15,11254,5019.147641,3186.38
2023-01-16,14028,6297.371337,5711.78
2023-01-17,5128,2300.34262,3360
2023-01-18,11906,5429.96669,7583.21
2023-01-19,6633,3027.30091,4550.78
2023-01-20,13525,6293.37994,7548.05
2023-01-21,7681,3499.33529,4085.65
2023-01-22,10198,4688.328479,8327.01
2023-01-23,6771,3010.57096,3595.26
2023-01-24,9857,4439.530021,6414.13
2023-01-25,4823,2174.47409,3464.05
2023-01-26,5615,2629.6793,2702.73
2023-01-27,14651,6600.219658,5802.99
2023-01-28,12257,5584.449662,8213.95
2023-01-29,9413,4200.63734,3816.97
2023-01-30,9505,4918.461032,3801
2023-01-31,6191,2862.176164,3299.96
2023-02-01,11195,5403.716938,4201.44
2023-02-02,14939,7157.80595,7217.5
2023-02-03,9228,4246.16276,4033.41
2023-02-04,5328,2435.175915,4015.54
2023-02-05,5266,2370.29539,2959.59
